source,target,type,ID,weight
1,0,Undirected,0,1
2,0,Undirected,1,8
3,0,Undirected,2,10
3,2,Undirected,3,6
4,0,Undirected,4,1
5,0,Undirected,5,1
6,0,Undirected,6,1
7,0,Undirected,7,1
8,0,Undirected,8,2
9,0,Undirected,9,1
11,0,Undirected,10,5
11,2,Undirected,11,3
11,3,Undirected,12,3
11,10,Undirected,13,1
12,11,Undirected,14,1
13,11,Undirected,15,1
14,11,Undirected,16,1
15,11,Undirected,17,1
17,16,Undirected,18,4
18,16,Undirected,19,4
18,17,Undirected,20,4
19,16,Undirected,21,4
19,17,Undirected,22,4
19,18,Undirected,23,4
20,16,Undirected,24,3
20,17,Undirected,25,3
20,18,Undirected,26,3
20,19,Undirected,27,4
21,16,Undirected,28,3
21,17,Undirected,29,3
21,18,Undirected,30,3
21,19,Undirected,31,3
21,20,Undirected,32,5
22,16,Undirected,33,3
22,17,Undirected,34,3
22,18,Undirected,35,3
22,19,Undirected,36,3
22,20,Undirected,37,4
22,21,Undirected,38,4
23,11,Undirected,39,9
23,12,Undirected,40,2
23,16,Undirected,41,3
23,17,Undirected,42,3
23,18,Undirected,43,3
23,19,Undirected,44,3
23,20,Undirected,45,4
23,21,Undirected,46,4
23,22,Undirected,47,4
24,11,Undirected,48,7
24,23,Undirected,49,2
26,11,Undirected,50,31
26,16,Undirected,51,1
26,24,Undirected,52,4
26,25,Undirected,53,1
27,11,Undirected,54,17
27,23,Undirected,55,5
27,24,Undirected,56,1
27,26,Undirected,57,1
27,25,Undirected,58,5
28,11,Undirected,59,8
28,27,Undirected,60,1
29,11,Undirected,61,2
29,23,Undirected,62,1
29,27,Undirected,63,1
30,23,Undirected,64,1
31,11,Undirected,65,3
31,23,Undirected,66,2
31,27,Undirected,67,1
31,30,Undirected,68,2
32,11,Undirected,69,1
33,11,Undirected,70,2
33,27,Undirected,71,1
34,11,Undirected,72,3
34,29,Undirected,73,2
35,11,Undirected,74,3
35,29,Undirected,75,2
35,34,Undirected,76,3
36,11,Undirected,77,2
36,29,Undirected,78,1
36,34,Undirected,79,2
36,35,Undirected,80,2
37,11,Undirected,81,2
37,29,Undirected,82,1
37,34,Undirected,83,2
37,35,Undirected,84,2
37,36,Undirected,85,2
38,11,Undirected,86,2
38,29,Undirected,87,1
38,34,Undirected,88,2
38,35,Undirected,89,2
38,36,Undirected,90,2
38,37,Undirected,91,2
40,25,Undirected,92,1
41,24,Undirected,93,2
41,25,Undirected,94,3
42,24,Undirected,95,1
42,41,Undirected,96,2
42,25,Undirected,97,2
43,11,Undirected,98,3
43,26,Undirected,99,1
43,27,Undirected,100,1
44,11,Undirected,101,1
44,28,Undirected,102,3
45,28,Undirected,103,2
47,25,Undirected,104,1
48,11,Undirected,105,1
48,27,Undirected,106,1
48,47,Undirected,107,2
48,25,Undirected,108,1
50,24,Undirected,109,1
50,54,Undirected,110,1
51,11,Undirected,111,2
