ID,name,gender
0,Myriel,M
1,Napoleon,M
2,MlleBaptistine,F
3,MmeMagloire,F
4,CountessDeLo,F
5,Geborand,F
6,Champtercier,M
7,Cravatte,M
8,Count,M
9,OldMan,M
10,Labarre,M
11,Valjean,M
12,Marguerite,F
13,MmeDeR,F
14,Isabeau,M
15,Gervais,M
16,Tholomyes,M
17,Listolier,M
18,Fameuil,M
19,Blacheville,M
20,Favourite,F
21,Dahlia,F
22,Zephine,F
23,Fantine,F
24,MmeThenardier,F
25,"Thenardier,Jondrette",M
26,Cosette,F
27,Javert,M
28,Fauchelevent,M
29,Bamatabois,M
30,Perpetue,F
31,Simplice,F
32,Scaufflaire,M
33,Woman1,F
34,Judge,M
35,Champmathieu,M
36,Brevet,M
37,Chenildieu,M
38,Cochepaille,M
40,Boulatruelle,M
41,Eponine,F
42,Anzelma,F
43,Woman2,F
44,MotherInnocent,F
45,Gribier,M
47,MmeBurgon,F
48,Gavroche,M
50,Magnon,F
51,MlleGillenormand,F
52,MmePontmercy,F
53,MlleVaubois,F
54,LtGillenormand,M
55,Marius,M
56,BaronessT,F
57,Mabeuf,M
58,Enjolras,M
59,Combeferre,M
60,Prouvaire,M
61,Feuilly,M
62,Courfeyrac,M
63,Bahorel,M
64,Bossuet,M
65,Joly,M
66,Grantaire,M
67,MotherPlutarch,F
68,Gueulemer,M
69,Babet,M
70,Claquesous,M
71,Montparnasse,M
72,Toussaint,M
73,Child1,M
74,Child2,M
75,Brujon,M
76,MmeHucheloup,F
